Company, Ticker
3M,MMM
A.O. Smith,AOS
Abbott Laboratories,ABT
AbbVie,ABBV
AFLAC,AFL
Air Products & Chemicals,APD
Albemarle Corporation,ALB
Amcor,AMCR
Archer-Daniels-Midland Co,ADM
AT&T Inc,T
Atmos Energy Corp,ATO
Automatic Data Processing,ADP
Becton Dickinson & Co,BDX
Brown–Forman B,BF-B
Cardinal Health Inc,CAH
Caterpillar Inc,CAT
Chevron Corp,CVX
Chubb Limited,CB
Church & Dwight,CHD
Cincinnati Financial Corp,CINF
Cintas Corp,CTAS
Clorox,CLX
Coca-Cola Co,KO
Colgate-Palmolive,CL
Consolidated Edison Inc,ED
Dover Corp,DOV
Ecolab Inc,ECL
Emerson Electric,EMR
Essex Property Trust,ESS
Expeditors International of Washington,EXPD
Exxon Mobil Corp,XOM
Federal Realty Investment Trust,FRT
Franklin Resources Inc,BEN
General Dynamics,GD
Genuine Parts Company,GPC
Hormel Foods Corp,HRL
Illinois Tool Works,ITW
IBM,IBM
Johnson & Johnson,JNJ
Kimberly-Clark,KMB
Leggett & Platt,LEG
Linde plc,LIN
Lowe's,LOW
McCormick & Company,MKC
McDonald's Corp,MCD
Medtronic plc,MDT
Nucor Corp,NUE
Pentair,PNR
People's United Financial,PBCT
PepsiCo,PEP
PPG Industries,PPG
Procter & Gamble,PG
Realty Income,O
Roper Technologies,ROP
S&P Global Inc,SPGI
Sherwin-Williams,SHW
Stanley Black & Decker,SWK
Sysco Corp,SYY
T Rowe Price Group Inc,TROW
Target Corp,TGT
VF Corporation,VFC
W. W. Grainger,GWW
Walgreens Boots Alliance,WBA
Walmart Inc.,WMT
West Pharmaceutical Services Inc,WST
